n,asset,isin,role,category,note,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,week_52_high_date,week_52_high,drawdown_from_52w_high_pct,rows_used,error,generated_at_utc
19,MSCI World Minimum Volatility,da verificare,leader,World factor,Difensivo globale,ACWV,ACWV,ok,yfinance.download,2026-06-18,119.290001,2026-02-27,125.279999,-4.7813,2026-02-27,125.199997,-4.7204,2026-02-27,125.279999,-4.7813,3686,,2026-06-20T09:23:29+00:00
20,STOXX Europe 600,da verificare,leader,Europa core,Europa ampia,VGK,VGK,ok,yfinance.download,2026-06-18,88.269997,2026-02-27,90.75,-2.7328,2026-02-25,90.489998,-2.4533,2026-02-27,90.75,-2.7328,5353,,2026-06-20T09:23:30+00:00
21,MSCI Europe,da verificare,leader,Europa core,Europa sviluppata,IEUR,IEUR,ok,yfinance.download,2026-06-18,74.699997,2026-02-27,76.970001,-2.9492,2026-02-25,76.75,-2.671,2026-02-27,76.970001,-2.9492,3023,,2026-06-20T09:23:30+00:00
22,MSCI Europe Value,da verificare,leader,Europa value,Value europeo,IEVL.L,IEVL.L,ok,yfinance.download,2026-06-19,13.564,2015-03-25,24.15,-43.8344,2026-06-17,13.666,-0.7464,2026-06-15,13.826,-1.895,2885,,2026-06-20T09:23:30+00:00
23,STOXX Europe 600 Value,da verificare,leader,Europa value,Value/ciclici Europa,EXV1.DE,EXV1.DE,ok,yfinance.download,2026-06-19,40.404999,2008-01-02,42.34,-4.5701,2008-01-02,42.34,-4.5701,2026-06-19,40.575001,-0.419,4687,,2026-06-20T09:23:30+00:00
24,STOXX Europe 600 Equal Weight,da verificare,leader,Europa breadth,Europa meno concentrata,XESC.DE,XESC.DE,ok,yfinance.download,2026-06-19,111.980003,2026-06-19,112.800003,-0.727,2026-06-18,112.519997,-0.4799,2026-06-19,112.800003,-0.727,4520,,2026-06-20T09:23:30+00:00
25,Euro STOXX 50,da verificare,leader,Eurozona,Large cap euro,FEZ,FEZ,ok,yfinance.download,2026-06-18,70.059998,2026-06-17,70.519997,-0.6523,2026-06-18,70.059998,0.0,2026-06-17,70.519997,-0.6523,5953,,2026-06-20T09:23:31+00:00
26,MSCI EMU,da verificare,leader,Eurozona,Eurozona ampia,EZU,EZU,ok,yfinance.download,2026-06-18,69.309998,2026-06-15,70.309998,-1.4223,2026-06-11,69.93,-0.8866,2026-06-15,70.309998,-1.4223,6510,,2026-06-20T09:23:31+00:00
27,FTSE 100,da verificare,leader,UK,Value/dividendi UK,ISF.L,ISF.L,ok,yfinance.download,2026-06-19,1008.0,2026-02-25,1148.400024,-12.2257,2026-02-27,1067.599976,-5.5826,2026-02-25,1148.400024,-12.2257,4410,,2026-06-20T09:23:31+00:00
28,FTSE 250,da verificare,leader,UK,Mid cap UK,MIDD.L,MIDD.L,ok,yfinance.download,2026-06-19,2138.0,2021-09-06,2312.0,-7.526,2021-09-06,2299.5,-7.0233,2026-06-15,2212.0,-3.3454,4410,,2026-06-20T09:23:31+00:00
29,DAX / Germania,da verificare,leader,Europa paese,Proxy comune Germania,EWG,EWG,ok,yfinance.download,2026-06-18,41.52,2026-02-27,44.650002,-7.0101,2026-02-26,44.560001,-6.8223,2026-02-27,44.650002,-7.0101,7613,,2026-06-20T09:23:32+00:00
30,CAC 40 / Francia,da verificare,leader,Europa paese,Francia,EWQ,EWQ,ok,yfinance.download,2026-06-18,45.810001,2026-02-26,48.389999,-5.3317,2026-02-26,48.349998,-5.2534,2026-02-26,48.389999,-5.3317,7613,,2026-06-20T09:23:32+00:00
31,FTSE MIB / Italia,da verificare,leader,Europa paese,Italia,EWI,EWI,ok,yfinance.download,2026-06-18,60.599998,2007-05-04,73.099998,-17.0999,2007-05-07,72.720001,-16.6667,2026-06-17,61.18,-0.948,7613,,2026-06-20T09:23:33+00:00
32,IBEX 35 / Spagna,da verificare,leader,Europa paese,Proxy Spagna,EWP,EWP,ok,yfinance.download,2026-06-18,59.009998,2007-11-14,71.849998,-17.8706,2007-12-10,68.68,-14.0798,2026-06-17,59.880001,-1.4529,7613,,2026-06-20T09:23:33+00:00
33,SMI / Svizzera,da verificare,leader,Europa difensivo,Svizzera,EWL,EWL,ok,yfinance.download,2026-06-18,61.330002,2026-02-27,65.529999,-6.4093,2026-02-27,65.080002,-5.7621,2026-02-27,65.529999,-6.4093,7613,,2026-06-20T09:23:33+00:00
34,Nordic Countries,da verificare,leader,Europa nordica,Nordici,XDN0.DE,XDN0.DE,ok,yfinance.download,2026-06-19,53.279999,2024-06-12,58.299999,-8.6106,2024-06-12,57.959999,-8.0745,2026-05-25,55.43,-3.8788,3244,,2026-06-20T09:23:33+00:00
35,MSCI Japan,da verificare,leader,Giappone,Giappone large cap,EWJ,EWJ,ok,yfinance.download,2026-06-18,96.260002,2026-06-18,96.519997,-0.2694,2026-06-18,96.260002,0.0,2026-06-18,96.519997,-0.2694,7613,,2026-06-20T09:23:34+00:00
36,TOPIX,da verificare,leader,Giappone,Giappone ampio,1306.T,1306.T,ok,yfinance.download,2026-06-19,429.700012,2026-02-27,4137.0,-89.6132,2026-02-27,4131.0,-89.5982,2026-02-27,4137.0,-89.6132,4531,,2026-06-20T09:23:34+00:00
37,Pacific ex Japan,da verificare,leader,Pacifico,Australia/HK/Singapore,EPP,EPP,ok,yfinance.download,2026-06-18,53.93,2007-10-31,60.970001,-11.5467,2007-10-31,60.610001,-11.0213,2026-04-17,57.07,-5.502,6200,,2026-06-20T09:23:34+00:00
