n,asset,isin,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,rows_used,error,generated_at_utc
1,MSCI World,IE00B4L5Y983,"IWDA.AS, SWDA.L",IWDA.AS,ok,yfinance.download,2026-06-18,124.620003,2026-06-18,125.18,-0.4474,2026-06-18,124.620003,0.0,4280,,2026-06-18T20:53:43+00:00
2,FTSE All-World,IE00BK5BQT80,VWCE.DE,VWCE.DE,ok,yfinance.download,2026-06-18,165.460007,2026-06-18,165.940002,-0.2893,2026-06-18,165.460007,0.0,1750,,2026-06-18T20:53:43+00:00
3,MSCI ACWI,IE00B6R52259,SSAC.L,SSAC.L,ok,yfinance.download,2026-06-18,9189.0,2026-06-18,9223.0,-0.3686,2026-06-18,9189.0,0.0,3699,,2026-06-18T20:53:43+00:00
4,MSCI ACWI IMI,IE00B3YLTY66,SPYI.DE,SPYI.DE,ok,yfinance.download,2026-06-18,11.414,2014-12-29,83.410004,-86.3158,2014-12-29,83.410004,-86.3158,3831,,2026-06-18T20:53:44+00:00
5,MSCI World Equal Weighted,IE00BLNMYC90,XDEW.DE,XDEW.DE,ok,yfinance.download,2026-06-18,101.779999,2026-06-16,102.419998,-0.6249,2026-06-15,102.080002,-0.2939,2998,,2026-06-18T20:53:44+00:00
6,MSCI World Minimum Volatility,IE00B8FHGS14,MVOL.L,MVOL.L,ok,yfinance.download,2026-06-18,72.82,2025-08-26,78.660004,-7.4244,2026-02-27,77.019997,-5.4531,3421,,2026-06-18T20:53:44+00:00
7,MSCI World Quality,IE00BP3QZ601,IWQU.L,IWQU.L,ok,yfinance.download,2026-06-18,87.050003,2026-02-11,88.410004,-1.5383,2026-06-15,88.040001,-1.1245,2956,,2026-06-18T20:53:44+00:00
8,MSCI World Momentum,IE00BP3QZ825,IWMO.L,IWMO.L,ok,yfinance.download,2026-06-18,123.230003,2026-06-18,123.709999,-0.388,2026-06-18,123.230003,0.0,2956,,2026-06-18T20:53:45+00:00
9,MSCI World Value,IE00BP3QZB59,IWVL.L,IWVL.L,ok,yfinance.download,2026-06-18,80.440002,2026-06-16,81.860001,-1.7347,2026-06-02,81.540001,-1.349,2956,,2026-06-18T20:53:45+00:00
10,MSCI World Small Cap,IE00BF4RFH31,WSML.L,WSML.L,ok,yfinance.download,2026-06-18,10.426,2026-06-15,10.644,-2.0481,2026-06-15,10.534,-1.0253,2077,,2026-06-18T20:53:45+00:00
11,S&P 500,IE00B5BMR087,"CSPX.L, VUAA.DE",CSPX.L,ok,yfinance.download,2026-06-18,805.23999,2026-01-06,888.76001,-9.3974,2026-06-02,819.099976,-1.6921,3978,,2026-06-18T20:53:45+00:00
12,S&P 500 Equal Weight,da verificare,SPES.L,SPES.L,ok,yfinance.download,2026-06-18,5032.0,2026-06-15,5044.0,-0.2379,2026-06-18,5032.0,0.0,1311,,2026-06-18T20:53:46+00:00
13,S&P 500 Quality,da verificare,IQUF.L,,failed,,,,,,,,,,0,"{""IQUF.L/rows_from_yfinance"": ""empty yfinance result"", ""IQUF.L/rows_from_yahoo_chart"": ""query1.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}; query2.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}""}",2026-06-18T20:53:53+00:00
